Date,Open,High,Low,Close,Volume,Adjusted
2021-09-09,26076.929688,26125.089844,25624.519531,25716,2090788600,25716
2021-09-10,25870.710938,26205.910156,25870.710938,26205.910156,2001317000,26205.910156
2021-09-13,25885.300781,25886.900391,25570.839844,25813.810547,2315555200,25813.810547
2021-09-14,25827.699219,25900.679688,25377.830078,25502.230469,2398954000,25502.230469
2021-09-15,25310.029297,25411.910156,24990.939453,25033.210938,2420861000,25033.210938
2021-09-16,25042.029297,25045.550781,24505.210938,24667.849609,2499818200,24667.849609
2021-09-17,24589.169922,24920.759766,24424.740234,24920.759766,3102312100,24920.759766
2021-09-20,24640.429688,24640.429688,23871.839844,24099.140625,2651590600,24099.140625
2021-09-21,23867.160156,24284.869141,23771.460938,24221.539063,2079740100,24221.539063
2021-09-23,24614.140625,24827.460938,24313.679688,24510.980469,2711912400,24510.980469
2021-09-24,24487.240234,24636.640625,24095.789063,24192.160156,2014445100,24192.160156
2021-09-27,24131.419922,24509,24131.419922,24208.779297,2323611100,24208.779297
2021-09-28,24323,24679.460938,24232.980469,24500.390625,2457931200,24500.390625
2021-09-29,24276.710938,24694.460938,24045.990234,24663.5,2150210800,24663.5
2021-09-30,24494.259766,24660.679688,24346.75,24575.640625,1580410200,24575.640625
2021-10-04,24478.679688,24478.679688,23908.050781,24036.369141,1596284900,24036.369141
2021-10-05,23771.650391,24180.080078,23681.439453,24104.150391,1716980100,24104.150391
2021-10-06,24259.199219,24259.199219,23812.349609,23966.490234,1878722300,23966.490234
2021-10-07,24339.320313,24741.279297,24310.109375,24701.730469,1764575500,24701.730469
2021-10-08,25064.800781,25064.800781,24595.580078,24837.849609,2359007900,24837.849609
2021-10-11,25161.800781,25437.160156,25161.800781,25325.089844,2114303500,25325.089844
2021-10-12,24995.949219,25188.779297,24865.800781,24962.589844,1835259400,24962.589844
2021-10-15,25187.050781,25330.960938,24929.560547,25330.960938,2345247700,25330.960938
2021-10-18,25425.320313,25425.320313,25123.25,25409.75,1648005300,25409.75
2021-10-19,25471.25,25808.619141,25458.029297,25787.210938,1671194600,25787.210938
2021-10-20,26074.199219,26214.630859,25915.619141,26136.019531,1823605200,26136.019531
2021-10-21,26141.849609,26229.800781,25840.589844,26017.529297,2085122100,26017.529297
2021-10-22,26114.839844,26195.289063,25976.029297,26126.929688,1699583700,26126.929688
2021-10-25,26020.779297,26212.900391,25929.669922,26132.029297,1455214700,26132.029297
2021-10-26,26234.939453,26234.939453,25905.080078,26038.269531,1533464400,26038.269531
2021-10-27,25795.169922,25795.169922,25555.169922,25628.740234,1620780100,25628.740234
2021-10-28,25648.419922,25736.380859,25473.160156,25555.730469,2021051100,25555.730469
2021-10-29,25466.859375,25516.220703,25314.240234,25377.240234,2051346200,25377.240234
2021-11-01,25268.349609,25270.410156,24972.5,25154.320313,1586722800,25154.320313
2021-11-02,25609.009766,25639.660156,25030.689453,25099.669922,1964593300,25099.669922
2021-11-03,25060.929688,25187.089844,24808.589844,25024.75,1690457100,25024.75
2021-11-04,25141.099609,25244.980469,25010.359375,25225.189453,1639485100,25225.189453
2021-11-05,24950.679688,25049.369141,24724.390625,24870.509766,2020689200,24870.509766
2021-11-08,24743.539063,24837.769531,24633.570313,24763.769531,1762623700,24763.769531
2021-11-09,24952.820313,24956.369141,24678.660156,24813.130859,1154696200,24813.130859
2021-11-10,24787.439453,25013.109375,24481.259766,24996.140625,1688052600,24996.140625
2021-11-11,24856.109375,25324.660156,24836.210938,25247.990234,2001862500,25247.990234
2021-11-12,25522.830078,25527.130859,25210.560547,25327.970703,1632112200,25327.970703
2021-11-15,25437.990234,25483.259766,25230.330078,25390.910156,1155801200,25390.910156
2021-11-16,25446.650391,25746.710938,25410.869141,25713.779297,1528784400,25713.779297
2021-11-17,25667.810547,25667.810547,25520.669922,25650.080078,1193809400,25650.080078
2021-11-18,25369.880859,25414.210938,25222.599609,25319.720703,1342851200,25319.720703
2021-11-19,24934.400391,25077.150391,24825.429688,25049.970703,1640364600,25049.970703
2021-11-22,25057.060547,25099.949219,24869.939453,24951.339844,1510358900,24951.339844
2021-11-23,24688.990234,24794.720703,24618.740234,24651.580078,1486270300,24651.580078
